id_startup,nome_startup,setor,status,data_avaliacao,1.1_precisao_basica,1.2_calibracao,1.3_estabilidade_leitura,1.4_latencia_sinal,1.5_relacao_sinal_ruido,1.6_repetibilidade,2.1_custo_bom,2.2_custo_opex,2.3_tempo_deploy,2.4_escalabilidade_fabril,2.5_competitividade_preco,2.6_mvp_funcional,3.1_mtbf_teorico,3.2_tratamento_erros,3.3_estabilidade_firmware,3.4_tempo_recuperacao,3.5_stress_test,4.1_tempo_instalacao,4.2_facilidade_config,4.3_clareza_dashboard,4.4_feedback_usuario,5.1_autonomia_bateria,5.2_eficiencia_carga,5.3_consumo_standby,5.4_dimensionamento_fonte,6.1_protecao_ip_agua,6.2_resistencia_termica,6.3_integridade_mecanica,6.4_resistencia_impacto,6.5_durabilidade_conector,6.6_qualidade_carcaca,7.1_perda_pacotes,7.2_latencia_nuvem,7.3_integridade_backup,7.4_resiliencia_api,7.5_seguranca_cripto,8.1_risco_supply_chain,8.2_frequencia_manutencao,8.3_indice_reparabilidade,8.4_tempo_montagem,8.5_ciclo_vida_material
1,AlphaTech,Agri-IoT,Ativa,2025-01-10,4,5,4,5,5,4,4,5,3,2,3,5,4,4,5,5,5,4,5,5,3,4,3,4,4,5,5,5,5,4,5,5,4,5,5,3,3,5,5,4,3
2,BetaSolutions,Water-Ops,Ativa,2025-01-11,3,4,3,4,4,3,3,4,3,2,2,4,3,3,4,4,4,3,4,4,2,3,2,3,3,4,5,4,5,3,4,4,3,4,4,2,2,4,4,3,2
3,GammaSystems,SmartCity,Inativa,2024-11-05,2,3,2,3,2,2,2,2,2,1,1,3,2,2,3,3,3,2,3,3,1,1,1,2,2,3,4,3,4,2,3,2,2,3,3,1,1,3,3,2,1
4,DeltaDevices,Enviro-Tech,Ativa,2025-01-12,5,5,4,5,5,5,4,5,4,3,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,3
5,EpsilonEnergy,Power-Grid,Ativa,2025-01-08,4,4,4,5,5,4,4,5,3,3,3,5,4,4,5,5,4,4,5,5,3,5,5,4,4,5,5,5,5,4,5,5,4,4,5,3,3,5,4,4,3
6,ZetaSensors,Agri-IoT,Inativa,2024-10-20,1,2,1,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,3,2,3,1,2,1,2,2,2,1,1,2,2,1,1
7,EtaFlow,Water-Ops,Ativa,2025-01-09,3,4,3,4,5,4,3,4,3,2,3,4,3,3,4,5,4,3,4,4,3,3,3,3,3,4,5,4,5,3,5,5,4,4,4,2,2,4,4,3,2
8,ThetaLight,SmartCity,Ativa,2025-01-13,4,5,5,5,5,5,4,5,4,3,4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,3
9,IotaWaste,Enviro-Tech,Ativa,2025-01-05,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,5,4,4,4,4,4,4,3,3,4,4,4,3
10,KappaPower,Power-Grid,Inativa,2024-12-01,2,3,2,3,3,2,2,2,2,1,2,3,2,2,3,3,2,2,3,3,2,2,2,2,2,3,4,3,4,2,3,3,2,3,3,1,2,3,3,2,2
11,LambdaCrops,Agri-IoT,Ativa,2025-01-14,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4
12,MuAqua,Water-Ops,Ativa,2025-01-07,3,3,3,4,4,3,3,3,3,2,2,4,3,3,4,4,3,3,4,4,2,3,2,3,3,4,5,4,4,3,4,4,3,4,4,2,2,4,4,3,2
13,NuTraffic,SmartCity,Inativa,2024-09-15,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,3,2,3,1,2,1,1,2,2,1,1,2,2,1,1
14,XiSense,Enviro-Tech,Ativa,2025-01-06,4,5,4,5,5,4,4,5,4,3,3,5,4,4,5,5,4,4,5,5,3,4,4,4,4,5,5,5,5,4,5,5,4,4,5,3,3,5,4,4,3
15,OmicronWind,Power-Grid,Ativa,2025-01-15,4,4,4,5,4,4,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,4,3,4,4,4,5,4,5,4,4,4,4,4,4,3,3,4,4,4,3
16,PiTracking,Agri-IoT,Ativa,2025-01-04,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,4,3,4,3,3,4,3,3,3,2,2,3,3,3,2
17,RhoIrrigation,Water-Ops,Ativa,2025-01-03,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4
18,SigmaParking,SmartCity,Inativa,2024-11-20,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,1
19,TauAir,Enviro-Tech,Ativa,2025-01-02,4,4,4,4,5,4,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,5,4,4,5,4,4,4,3,3,4,4,4,3
20,UpsilonBatt,Power-Grid,Ativa,2025-01-01,5,5,5,5,5,5,4,5,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4
21,PhiFarm,Agri-IoT,Inativa,2024-12-10,3,3,2,3,3,2,2,3,2,1,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2,3,4,3,4,2,3,3,2,3,3,2,2,3,3,2,2
22,ChiLeak,Water-Ops,Ativa,2024-12-28,4,4,4,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,5,4,4,4,4,4,4,3,3,4,4,4,3
23,PsiNoise,SmartCity,Ativa,2024-12-29,3,4,3,4,4,3,3,4,3,2,2,4,3,3,4,4,3,3,4,4,2,3,2,3,3,4,5,4,5,3,4,4,3,4,4,2,2,4,4,3,2
24,OmegaCarbon,Enviro-Tech,Inativa,2024-10-05,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,3,2,3,1,2,2,2,2,2,1,1,2,2,1,1
25,AlephVolt,Power-Grid,Ativa,2024-12-30,4,5,4,5,5,4,4,5,4,3,3,5,4,4,5,5,4,4,5,5,3,5,4,4,4,5,5,5,5,4,5,5,4,5,5,3,3,5,4,4,3
26,BethGrain,Agri-IoT,Ativa,2024-12-27,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,3,4,4,4,3
27,GimelFlow,Water-Ops,Inativa,2024-11-15,2,3,2,3,2,2,2,2,2,1,1,3,2,2,3,3,2,2,3,3,2,2,2,2,2,3,4,3,4,2,3,2,2,3,3,1,1,3,3,2,2
28,DaletSafe,SmartCity,Ativa,2024-12-26,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4
